Regione;Difficolta_di_parcheggio;Difficolta_di_collegamento_con_mezzi_pubblici;Traffico;Scarsa_illuminazione_stradale;Cattive_condizioni_stradali
Piemonte;14,5;10,3;9,1;6,4;17,7
Valle d'Aosta;6,1;7,9;4,4;4,8;12,9
Liguria;26,7;7,3;11,6;8,1;22,2
Lombardia;14,9;9,9;10,8;5,2;17,6
Trentino Alto Adige;11;6;7,6;4,3;7,1
Provincia Autonoma Bolzano;14,6;4,2;11,1;3,6;8,4
Provincia Autonoma Trento;7,6;7,7;4,1;4,9;5,8
Veneto;9,9;12,8;11,8;8,4;13,9
Friuli-Venezia Giulia;9,2;6,7;8,3;3,5;11,5
Emilia-Romagna;10,1;9,1;9,3;7,5;18,4
Toscana;14,8;12,7;11,4;11,2;21,8
Umbria;10,7;10,7;8,9;12;42,3
Marche;7,4;7,7;6,4;8,4;20,5
Lazio;24,8;11,5;20,5;14,7;46,7
Abruzzo;10,9;8,7;8;7,9;23,5
Molise;12,2;8,8;7,9;8,8;23,6
Campania;18,3;21,2;12,7;11,1;26
Puglia;15,2;10,4;12,6;8,3;26,8
Basilicata;9,8;16,8;6,9;9,9;27,8
Calabria;7;12,2;5,4;8,5;22,6
Sicilia;15,2;12,3;12,4;12,5;24,5
Sardegna;14;12,8;10,5;13,6;32,7
